gene_id,ERR1338025,ERR1338026,ERR1338027,ERR1338028,ERR1338029,ERR1338030,ERR1338031,ERR1338032
ENSG00000130764.10|LRRC47,1615,1823,2058,612,4910,4693,4787,5353
ENSG00000266075.2|RN7SL574P,10,3,14,5,13,0,3,3
ENSG00000272153.1|ENSG00000272153,36,41,58,19,52,66,40,61
ENSG00000196581.11|AJAP1,604,637,1138,314,1097,946,843,749
ENSG00000287586.1|ENSG00000287586,0,0,0,0,0,0,0,0
ENSG00000264101.1|MIR4689,0,0,0,0,1,0,0,0
ENSG00000069424.16|KCNAB2,1991,2358,2421,621,2349,2510,2034,2312
ENSG00000131697.18|NPHP4,521,616,644,174,1497,1252,1412,1502
ENSG00000116254.18|CHD5,253,334,457,153,315,316,352,380
ENSG00000285629.1|ENSG00000285629,43,71,47,0,87,51,54,17
ENSG00000116251.11|RPL22,8116,8451,7004,2581,27970,24624,27465,30900
ENSG00000226944.1|RNF207-AS1,7,0,5,0,0,0,27,30
ENSG00000158286.13|RNF207,129,93,141,28,101,70,117,131
ENSG00000116237.16|ICMT,955,993,1230,373,2528,2176,2622,2561
ENSG00000225077.3|ICMT-DT,8,5,11,0,8,20,7,12
ENSG00000173673.9|HES3,4,3,0,4,6,12,0,16
ENSG00000097021.21|ACOT7,1516,1875,2009,517,3651,3713,5258,5761
ENSG00000158292.7|GPR153,854,1226,1130,250,2612,2921,3087,3294
ENSG00000271746.1|ENSG00000271746,7,12,10,3,12,14,20,17
ENSG00000069812.11|HES2,3,0,0,0,24,25,24,49
ENSG00000265392.1|MIR4252,0,0,0,0,0,0,0,0
ENSG00000231868.1|ENSG00000231868,0,0,0,0,3,0,2,3
ENSG00000215788.11|TNFRSF25,380,396,440,115,1454,1086,797,817
ENSG00000171680.23|PLEKHG5,1706,1898,1851,530,5931,5541,5076,5679
ENSG00000253022.1|RNU6-731P,0,3,0,2,3,0,1,2
ENSG00000173662.21|TAS1R1,9,9,11,0,28,30,17,47
ENSG00000162413.17|KLHL21,388,505,472,137,2017,1703,1770,1875
ENSG00000187017.18|ESPN,145,110,144,56,1012,874,448,479
ENSG00000162408.11|NOL9,543,555,779,171,2313,1807,1946,2080
ENSG00000229519.2|ENSG00000229519,5,8,6,4,9,10,3,9
ENSG00000204859.13|ZBTB48,640,727,876,204,1079,918,849,915
ENSG00000116273.6|PHF13,1932,2400,2490,840,2753,2408,2623,2642
ENSG00000007923.17|DNAJC11,915,1070,1234,270,2433,2003,1604,1657
ENSG00000228750.7|LINC01672,0,0,0,0,0,0,0,0
ENSG00000041988.16|THAP3,1022,1192,1118,476,1119,1136,1311,1594
ENSG00000237436.1|CAMTA1-DT,7,7,13,2,38,40,40,43
ENSG00000227950.1|ENSG00000227950,0,0,2,0,0,0,0,2
ENSG00000237365.1|CAMTA1-AS3,0,0,0,0,0,0,0,0
ENSG00000207056.1|RNU1-8P,0,0,0,1,0,0,0,0
ENSG00000237728.2|CAMTA1-AS2,0,0,0,0,0,0,0,0
ENSG00000225126.1|CAMTA1-AS1,0,0,0,0,0,0,0,0
ENSG00000171735.21|CAMTA1,8285,8031,9090,2928,8309,6930,10595,11504
ENSG00000237402.1|CAMTA1-IT1,5,8,8,0,11,14,8,21
ENSG00000270171.1|ENSG00000270171,119,80,74,9,212,190,264,328
ENSG00000270035.1|ENSG00000270035,27,45,23,9,90,66,63,65
ENSG00000269978.1|ENSG00000269978,27,46,26,12,105,89,70,142
ENSG00000049246.15|PER3,608,705,1397,393,755,597,713,761
ENSG00000049247.14|UTS2,3,8,24,8,14,12,212,300
ENSG00000049245.13|VAMP3,3052,3411,3391,1192,3840,3074,2845,3081
ENSG00000269925.1|ENSG00000269925,39,40,42,19,57,36,53,61
ENSG00000236266.1|ENSG00000236266,18,10,10,0,13,17,17,11
ENSG00000049249.10|TNFRSF9,0,8,9,6,104,79,28,45
ENSG00000270330.1|ENSG00000270330,0,0,0,0,0,0,0,0
ENSG00000116288.13|PARK7,6104,7288,7325,2324,7996,7177,7432,8375
ENSG00000200344.1|Y_RNA,3,2,2,0,5,3,2,1
ENSG00000284716.1|ENSG00000284716,0,0,0,0,0,0,0,0
ENSG00000284747.1|ENSG00000284747,8,8,0,0,28,17,7,0
ENSG00000116285.13|ERRFI1,808,837,697,288,3120,2259,4105,4712
ENSG00000232848.1|RPL7AP18,0,0,0,0,0,0,0,0
ENSG00000238290.1|ERRFI1-DT,6,9,16,0,17,0,0,9
ENSG00000251977.1|RNU6-991P,0,0,0,0,0,0,0,0
ENSG00000252254.1|Y_RNA,0,3,1,0,2,1,2,2
ENSG00000142599.20|RERE,5798,6624,6906,1910,16986,15401,16243,17462
ENSG00000232912.6|RERE-AS1,0,0,0,0,7,4,3,4
ENSG00000221083.1|ENSG00000221083,0,0,0,0,0,0,2,0
ENSG00000224315.2|RPL7P7,0,0,5,3,8,0,5,1
ENSG00000229716.2|RPL23AP19,0,0,0,0,1,0,0,0
ENSG00000274258.1|MIR6728,0,0,0,0,3,2,1,3
ENSG00000201725.1|RNU6-304P,0,0,0,0,0,0,0,0
ENSG00000232208.2|ENSG00000232208,0,2,0,0,0,0,0,0
ENSG00000232663.2|ENSG00000232663,0,0,0,0,0,0,0,0
