gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
,15168.39693,0.427611928,0.109482748,3.905747109,9.39E-05,0.037798047
,147.1119835,-0.470973611,0.121185411,-3.886388709,0.000101747,0.039597796
,6901.541974,1.299254067,0.334540607,3.883696144,0.00010288,0.039597796
,124.0647171,2.201900249,0.570506395,3.85955402,0.000113594,0.039857091
,112.0607344,-0.560007478,0.145647223,-3.844958148,0.000120573,0.039857091
,517.3883659,2.27173995,0.591144601,3.842951365,0.000121564,0.039857091
,102.9417901,-0.80376196,0.208605765,-3.853018932,0.00011667,0.039857091
,105.4911182,1.80971442,0.467270017,3.872952154,0.000107525,0.039857091
,397.0691229,-0.292729665,0.07579438,-3.862155295,0.000112391,0.039857091
,949.3803386,0.366432566,0.095317831,3.844323373,0.000120886,0.039857091
,84730.33979,0.342931271,0.088856092,3.859400788,0.000113665,0.039857091
,240.0640467,-0.383266412,0.100039637,-3.831145574,0.000127548,0.04032567
,21.44372505,-6.096831391,1.590301282,-3.83375871,0.0001262,0.04032567
,52.90873021,1.636084149,0.430517045,3.800277289,0.000144534,0.044894372
,27.23192789,0.67539982,0.179152389,3.769973834,0.000163265,0.049837946
,29.83669119,2.28765392,0.607878094,3.763343245,0.000167657,0.050311258
,81.88590236,2.671465425,0.712220875,3.750894589,0.000176205,0.051995091
,713.5690705,0.359193249,0.096061123,3.739215597,0.000184595,0.053578047
,472.1018615,1.475243482,0.395751898,3.727697808,0.000193237,0.054510146
,712.30984,0.633826979,0.170074975,3.726750395,0.000193964,0.054510146
,807.6119301,0.542803343,0.1467094,3.699853881,0.000215724,0.058817077
,226.5961332,0.553345046,0.14988051,3.69190794,0.000222578,0.058817077
,80.20492398,2.71979427,0.736553193,3.692597215,0.000221975,0.058817077
,1876.033864,0.429626633,0.116203316,3.697197692,0.000217993,0.058817077
,156.6815515,1.581404463,0.431484573,3.665031295,0.000247308,0.059762122
,5721.780927,0.260780922,0.070854786,3.680498329,0.000232779,0.059762122
,256.3911476,-0.505533721,0.137506335,-3.676439505,0.000236512,0.059762122
,1029.393404,0.244032577,0.066511146,3.669047847,0.000243456,0.059762122
,1839.313923,1.209131236,0.331060817,3.652293392,0.000259909,0.059762122
,509.2324537,-0.699575755,0.191232841,-3.658240659,0.000253953,0.059762122
,95.45937682,-0.82882997,0.226528877,-3.658826996,0.000253372,0.059762122
,27.28548283,1.450619571,0.395232071,3.670298227,0.000242268,0.059762122
,147.3135864,1.514733156,0.412979783,3.6678143,0.000244633,0.059762122
,16.80149973,-8.178234125,2.238348289,-3.653691503,0.000258497,0.059762122
